Datum;Turnier;1 Teehäuschen (4);2 Schlosspark (4);3 Tafelberg (3);4  Schweinebucht (5);5 Swilcan Bridge (4);6 Kessel (3);7 Insel (3);8 Birkenwäldchen (4);9 Grande Finale (3);Notizen
45888;FALSCH;?;?;7;?;6;6;7;7;6;• Erste Runde
45890;FALSCH;7;9;6;11;6;3;3;12;16;"• Viele Gute Schläge mit dem 9er Eisen (Loch 5 und 6 sogar Par)
• Bunker muss geübt werden. Hoch und nicht weit Rollen ist wichtig
• Ziel bis 01.06.2026 Handicap 36 (bei 9 Loch sind das 18 über Par)"
45892;FALSCH;9;12;10;10;7;7;3;8;11;"• Abschlag ab sofort von der Herren-Teebox
• Üben: Driver gerade und nicht zu hoch & Länge der Eisen 7 bis 9 kontrollieren"
45895;FALSCH;7;11;9;14;8;8;10;7;11;• Mit Aaron lief gar nix heute. Gleich Fitting im Golfhouse
45897;FALSCH;8;9;3;12;6;7;6;6;5;"• Mit Haio ab Bahn 2 und mit neuen Schlägern
• Driving Range lief richtig gut zu Beginn und dann wieder schlecht
• Probeschwünge gut, aber ich drehe mich nicht beim eigentlichen Schlag"
45908;FALSCH;8;7;8;12;6;4;8;9;6;"• Chippen und Abschläge haben gut geklappt. 
• Elbogen am Körber und richtig Gewicht verlagern
• An einfachen paar 3 zu viele Schläge verhauen"
45913;FALSCH;10;8;3;9;6;4;6;5;5;"• Sehr gute Schläge an sich
• Bisschen Durck wegen Gewitter"
45914;FALSCH;6;8;6;9;7;6;10;12;6;
45916;FALSCH;8;7;6;10;3;5;7;7;7;"• So wie beim letzten mal viele Puts versaut aber: ERSTES FUCKING BIRDY HÄÄÄ
wobei ich mir nicht ganz sicher bin, ob der drive wirklich so weit gewesen sein kann"
45918;FALSCH;11;10;10;11;10;6;8;8;7;
45920;FALSCH;9;11;5;11;6;5;5;8;7;"• Ich muss wieder mehr mit Gefühl spielen. Die ersten 4 Bahnen waren wieder so gezwungen.
• Auch Putten muss geübt werden.
• Bei der Insel mit dem 9er aber dann von der Herrenbox oder weniger Schwung?
• Beim Letzten ist ein Pitchingwedge okay aber nicht zu viel Schwung oder auch von der Herrenbox"
45923;FALSCH;6;9;7;10;3;5;6;10;7;• Mit Aaron, aber der Schwung war wieder komisch
45927;FALSCH;5;9;9;15;4;5;7;10;4;
45929;FALSCH;4;10;7;13;10;5;8;6;5;• Viele Tolle Schläge mit Aaron. Bei der Insel besser nur ein Pitching. Das 9er ging über den Zaun
45932;FALSCH;9;5;3;6;10;3;7;6;4;• Mit Aaron um 17:40 eine Abendrunde mit super geilen Schlägen und persönliche Bestleistung!!!
45937;FALSCH;6;6;3;11;6;5;6;9;7;
45939;FALSCH;10;6;3;6;4;4;8;5;3;• Neuer Rekord !!! Und erstes mal besser als Handicap 36!!!
45940;FALSCH;10;5;4;10;5;5;4;7;3;
45941;FALSCH;7;8;4;12;8;4;5;4;4;
45946;FALSCH;6;7;12;12;10;3;7;10;7;"alter ich habe keine Ahnung mehr wie man einen Ball trifft

Nach unzähligen Fehlschlägen auf der Range hat es am 20.10. wieder deutlich besser geklappt. Grund war, dass ich Tiefer geschwungen habe und dadurch nicht overthetop kam und zu fett treffe. Außerdem dreht sichs dadurch besser auf. Des weiteren wichtig den Ellebogen am Körper zu belassen und das Handgelenk nicht zu früh zu entladen. Der Griff muss neutral sein bei lockerem Griff!"
45954;FALSCH;7;7;8;7;6;6;4;10;6;
46102;FALSCH;7;10;5;14;9;7;5;6;6;Saisoneröffnung
46103;FALSCH;5;8;4;8;7;4;5;5;5;Nochmal mit Aaron bei geilem Wetter
46114;FALSCH;8;9;5;10;6;4;7;8;3;
46115;FALSCH;6;7;5;6;9;3;3;7;5;
46123;FALSCH;9;5;3;7;9;4;3;10;7;Turnier Katzberg Masters
46127;FALSCH;6;5;4;9;7;4;4;5;4;NEUER REKORD!
46133;FALSCH;8;8;5;6;8;1;4;7;8;FUCKING HOLE IN ONE!!!
46137;FALSCH;7;8;4;11;7;5;3;7;4;
46138;FALSCH;4;6;3;8;12;5;4;9;5;
46142;FALSCH;8;5;5;12;9;4;3;8;3;
46143;FALSCH;5;6;6;9;6;3;5;6;6;
46147;FALSCH;5;5;3;5;7;6;3;5;4;
46150;WAHR;6;4;6;8;4;3;3;4;9;Turnier gewonnen :)))))
46150;FALSCH;9;10;4;6;6;3;4;8;4;Warum habe ich nur eine 2. Runde noch gemacht!?
46151;FALSCH;7;4;5;8;11;3;3;6;3;Nach Training. Fühlt sich alles so verkehrt an. Drehen ist wichtig, damit nicht fett
46154;FALSCH;8;5;8;8;10;4;5;5;6;
